Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Eren Dinkçi,22,"MF,FW",Freiburg,23,1196,0,3,1.1,2.2,14,3
Sinaly Diomande,23,DF,Auxerre,23,1945,3,2,1.1,0.6,9,4
Yan Diomandé,17,"MF,FW",Leganés,10,545,2,1,1.4,0.9,11,3
Lois Diony,31,FW,Angers,1,21,0,0,0,0,0,0
Issa Diop,27,DF,Fulham,21,1339,0,0,0.5,0.1,5,2
Sérigné Diop,19,FW,Brest,2,4,0,0,0,0,0,0
Sofiane Diop,24,"MF,FW",Nice,28,1064,6,4,6,2.9,22,11
Andy Diouf,21,MF,Lens,34,2225,1,2,2.9,2.8,40,5
Yehvann Diouf,24,GK,Reims,34,3060,0,0,0.1,0,1,1
Assane Dioussé,26,MF,Auxerre,17,663,0,0,0.1,0.2,3,2
Axel Disasi,26,DF,Aston Villa,7,490,0,0,0.1,0.4,2,0
Axel Disasi,26,DF,Chelsea,6,364,1,0,0.3,0.1,2,1
Roman Dixon,19,DF,Everton,1,90,0,0,0,0,0,0
Álvaro djaló,24,FW,Athletic Club,17,659,1,0,0.8,0.9,15,3
Djené,32,"DF,MF",Getafe,31,2548,0,0,0.3,0.6,6,0
Nasser Djiga,21,DF,Wolves,5,66,0,0,0,0,0,0
Berat Djimsiti,31,DF,Atalanta,34,2640,1,2,2.7,1.3,20,4
Marko Dmitrović,32,GK,Leganés,32,2880,0,0,0,0.2,0,0
Ritsu Doan,26,"FW,MF",Freiburg,34,2862,10,7,6.6,3.7,61,21
Dodô,25,DF,Fiorentina,34,3025,0,4,1.4,4.2,25,5
Danilho Doekhi,26,DF,Union Berlin,34,3060,1,1,2.6,1.4,32,4
Matt Doherty,32,DF,Wolves,30,2109,2,1,1,1.5,10,3
Jeremy Doku,22,"FW,MF",Manchester City,29,1516,3,6,1.3,4.8,29,9
Marc Domenech,18,"FW,MF",Mallorca,10,303,0,0,0.7,0.2,8,2
Álex Domínguez,26,GK,Toulouse,1,19,0,0,0,0,0,0
Benjamín Domínguez,20,FW,Bologna,24,1281,3,2,2.2,0.8,30,17
Carlos Dominguez,23,DF,Celta Vigo,19,1181,0,0,0.2,0.1,3,1
Israel Domínguez,21,FW,Sevilla,1,18,0,0,0,0,0,0
Nicolás Domínguez,26,"MF,FW",Nott'ham Forest,34,1963,0,1,1.5,1.3,21,9
Sergi Dominguez,19,DF,Barcelona,3,172,0,0,0,0,0,0
Gianluigi Donnarumma,25,GK,Paris S-G,24,2091,0,0,0,0,0,0
Patrick Dorgu,19,DF,Manchester Utd,12,842,0,0,0.4,0.7,10,2
Patrick Dorgu,19,"DF,FW",Lecce,21,1840,3,1,3.3,1.5,36,10
Alfie Dorrington,19,DF,Tottenham,1,14,0,0,0,0,0,0
Niklas Dorsch,26,MF,Augsburg,1,32,0,0,0,0,0,0
Niklas Dorsch,26,MF,Heidenheim,22,1335,2,2,1,1.1,9,3
Alberto Dossena,25,DF,Como,23,1825,0,2,0.8,0.7,12,3
Abdoulaye Doucouré,31,MF,Everton,33,2564,3,2,4.1,2.4,31,9
Cheick Doucouré,24,MF,Crystal Palace,13,452,0,0,0.4,0,7,0
Sékou Doucoure,19,DF,Nantes,2,12,0,0,0,0,0,0
Désiré Doué,19,"FW,MF",Paris S-G,31,1730,6,6,5.1,7.8,55,20
Guela Doué,21,DF,Strasbourg,32,2717,1,2,0.8,0.7,18,6
Douglas,27,MF,Nantes,28,2307,4,2,3.4,1.5,36,14
Ismaël Doukouré,21,"DF,MF",Strasbourg,31,2639,1,1,0.6,1.1,3,1
Issa Doumbia,20,MF,Venezia,24,939,0,0,1,0.1,16,5
Kamory Doumbia,21,"MF,FW",Brest,30,1322,3,2,2.7,1.2,22,10
Amidou Doumbouya,16,DF,Nice,2,46,0,0,0,0,0,0
Anastasios Douvikas,24,FW,Como,13,580,2,2,2.5,1.1,14,5
Anastasios Douvikas,24,FW,Celta Vigo,20,700,3,1,4.4,0.2,17,9
Artem Dovbyk,27,FW,Roma,32,2418,12,2,11.9,2.4,61,25
Flynn Downes,25,MF,Southampton,27,2151,1,0,0.6,1.1,10,3
Tommy Doyle,22,MF,Wolves,24,488,0,1,0.6,0.5,9,2
Radu Drăgușin,22,DF,Tottenham,16,1252,0,0,0.1,0.4,5,1
Patrick Drewes,31,GK,Bochum,21,1890,0,0,0,0,0,0
Tim Drexler,19,DF,Hoffenheim,8,357,0,0,0.1,0,2,2
Domingos Duarte,29,DF,Getafe,22,1859,1,0,0.2,0.1,3,1
Martin Dúbravka,35,GK,Newcastle Utd,10,900,0,0,0,0,0,0
Marvin Ducksch,30,FW,Werder Bremen,32,2418,8,8,10.1,8.5,70,27
Ondrej Duda,29,MF,Hellas Verona,28,2395,1,3,1,3.2,25,5
Duk,24,"MF,FW",Leganés,10,179,0,0,0,0.7,2,1
Denzel Dumfries,28,"DF,FW",Inter,28,1865,7,2,5.4,3.2,36,19
Alfred Duncan,31,MF,Venezia,16,957,0,0,0.8,1.1,15,4
Lewis Dunk,32,DF,Brighton,25,2083,0,0,0.8,0.5,12,3
Jáder Durán,20,FW,Aston Villa,20,638,7,0,4.9,0.2,31,15
Pablo Durán,23,"FW,MF",Celta Vigo,27,1394,4,4,3.6,2.8,26,9
Julien Duranville,18,"FW,MF",Dortmund,12,283,0,0,0.2,0.3,5,2
Hugo Duro,24,FW,Valencia,31,2166,11,2,9.4,1.3,48,16
Jean-Kevin Duverne,27,DF,Nantes,9,537,0,0,0.3,0.1,4,0
Paulo Dybala,30,"FW,MF",Roma,24,1417,6,3,6.4,5,47,15
Stefan Džodić,19,"DF,MF",Montpellier,7,242,0,0,0.1,0,3,0
Adam Dźwigała,28,"DF,MF",St. Pauli,16,373,0,0,0.4,0,6,0
Aron Dønnum,26,"DF,MF",Toulouse,32,2689,2,2,2.1,4.6,31,5
Enzo Ebosse,25,DF,Udinese,2,90,0,0,0,0,0,0
Tyronne Ebuehi,28,"DF,MF",Empoli,4,74,0,0,0,0,0,0
Claudio Echeverri,18,FW,Manchester City,1,6,0,0,0,0,0,0
Ederson,30,GK,Manchester City,26,2320,0,4,0,1.5,0,0
Éderson,25,MF,Atalanta,37,2881,4,1,4.1,4.3,39,12
Noah Edjouma,18,"MF,FW",Toulouse,10,171,2,0,1.3,0.1,5,3
George Edmundson,26,DF,Ipswich Town,1,2,0,0,0,0,0,0
Odsonne Édouard,26,"MF,FW",Crystal Palace,2,115,0,0,0.4,0,5,1
Odsonne Édouard,26,FW,Leicester City,4,29,0,0,0,0,0,0
Samuel Edozie,21,"DF,FW",Southampton,2,65,0,0,0,0.1,0,0
Ronnie Edwards,21,DF,Southampton,1,12,0,0,0,0,0,0
Johannes Eggestein,26,FW,St. Pauli,27,1853,3,4,4.7,2.1,34,10
Maximilian Eggestein,27,MF,Freiburg,33,2845,2,0,2,1.5,36,10
Kingsley Ehizibue,29,DF,Udinese,33,2498,0,1,1.2,2.2,14,4
Chidera Ejuke,26,FW,Sevilla,25,966,2,1,1.1,1.9,20,8
Jeff Ekhator,17,"FW,MF",Genoa,24,769,1,1,1.3,1,10,3
Hugo Ekitike,22,FW,Eint Frankfurt,33,2563,15,8,21.6,6.8,114,44
Jurgen Ekkelenkamp,24,MF,Udinese,34,1892,3,2,2.8,1.3,27,9
Jacques Ekomie,20,"DF,FW",Angers,18,697,0,0,0,0,1,0
Emmanuel Ekong,22,"MF,FW",Empoli,15,186,0,0,0.1,0.1,4,1
